the_geom,match_addr,x coordinate,y coordinate,category,layer
POINT (-118.406455 34.28137249999966),"12560 Filmore St, Pacoima, CA 91331, USA",-118.406455,34.2813725,City of LA Recreation Center,la_city_recreation_centers
POINT (-118.4281674 34.01770959999963),"11430 Woodbine St, Los Angeles, CA 90066, USA",-118.4281674,34.0177096,City of LA Recreation Center,la_city_recreation_centers
POINT (-118.0109562 33.90579559999964),"13800 La Mirada Blvd, La Mirada, CA 90638, USA",-118.0109562,33.9057956,LA County Cooling Center,coolingcenters
POINT (-117.83070619999998 33.999067399999646),"21800 Copley Dr, Diamond Bar, CA 91765, USA",-117.8307062,33.9990674,LA County Cooling Center,coolingcenters
POINT (-118.03548410000002 34.06500219999963),"3120 Tyler Ave, El Monte, CA 91731, USA",-118.0354841,34.0650022,LA County Cooling Center,coolingcenters
POINT (-118.4078589 34.045249999999655),"2551 Motor Ave, Los Angeles, CA 90064, USA",-118.4078589,34.04525,City of LA Recreation Center,la_city_recreation_centers
POINT (-118.3463592 34.028246599999626),"2942 Vineyard Ave, Los Angeles, CA 90016, USA",-118.3463592,34.0282466,City of LA Recreation Center,la_city_recreation_centers
POINT (-118.18179550000002 34.075857599999615),"4721 Klamath St, Los Angeles, CA 90032, USA",-118.1817955,34.0758576,City of LA Recreation Center,la_city_recreation_centers
POINT (-118.44805200000002 34.05323179999963),"1350 S Sepulveda Blvd, Los Angeles, CA 90025, USA",-118.448052,34.0532318,City of LA Pool,la_city_year-round_pools
POINT (-118.42261050000002 34.232212399999646),"13306 Branford St, Pacoima, CA 91331, USA",-118.4226105,34.2322124,City of LA Recreation Center,la_city_recreation_centers
POINT (-118.28769739999998 33.97622499999964),"830 W 70th St, Los Angeles, CA 90044, USA",-118.2876974,33.976225,City of LA Recreation Center,la_city_recreation_centers
POINT (-118.19264090000001 33.89549749999963),"15116 Atlantic Ave, Compton, CA 90221, USA",-118.1926409,33.8954975,LA County Cooling Center,coolingcenters
POINT (-118.28947860000001 34.01225699999964),"3980 Bill Robertson Ln, Los Angeles, CA 90037, USA",-118.2894786,34.012257,City of LA Pool,la_city_year-round_pools
POINT (-118.2839838 33.78663849999962),"1221 Figueroa Pl, Wilmington, CA 90744, USA",-118.2839838,33.7866385,City of LA Recreation Center,la_city_recreation_centers
POINT (-118.5302762 34.381616299999635),"24500 Main St, Santa Clarita, CA 91321, USA",-118.5302762,34.3816163,LA County Cooling Center,coolingcenters
